,abstract,ano,doi,keywords,periodico,titulo
22,"Highlights•We reviewed the literature of business factors especially for digital game development organization.•We identified seven key business factors for digital game development organization.•The study empirically investigate the significance of business key factors for game development organization.•The five out of seven business key factors found statistically significant.Game development is an interdisciplinary concept that embraces software engineering, business, management, and artistic disciplines. This research facilitates a better understanding of the business dimension of digital games. The main objective of this research is to investigate empirically the effect of business factors on the performance of digital games in the market and to answer the research questions asked in this study. Game development organizations are facing high pressure and competition in the digital game industry. Business has become a crucial dimension, especially for game development organizations. The main contribution of this paper is to investigate empirically the influence of key business factors on the business performance of games. This is the first study in the domain of game development that demonstrates the interrelationship between key business factors and game performance in the market. The results of the study provide evidence that game development organizations must deal with multiple business key factors to remain competitive and handle the high pressure in the digital game industry. Furthermore, the results of the study support the theoretical assertion that key business factors play an important role in game business performance.",2016,https://doi.org/10.1016/j.entcom.2015.09.001,"['Software game', 'Game business performance', 'Video game', 'Online game', 'Empirical investigation', 'Games business factors']",Entertainment Computing,Empirical investigation of key business factors for digital game performance
23,"Interaction between the University and students starts from the student enrols into University as a freshman over the period in which the student lives on campus. Cooperation between University and students has occurred since admission until graduation. When students graduate and then begin their work, the only thing that can make an engagement to alumni is the Alumni Association. Alumni Association will serve as a bridge between the University and alumni. Especially in Thailand, the alumni associations are not much active with enablement of technology as a communication tool for engagement. The problem is lack of communication between alumni and University, this causes consequence problems. For example, the University gets less sponsored by alumni; alumni do not get what they want from University; and so on. The review of literatures in this study concluded that to motivate the participations among alumni members eight factors are needed, e.g. 1) Alumni Demographic, 2) Communications, 3) Value Creation, 4) Awareness, 5) Motivation, 6) Collaboration, 7) Engagement, and 8) Alumni Satisfaction. This study aims to explore an innovative framework for responding to the needs of students and alumni and the alumni relationship management system to support the framework. Evidence from the survey found that University needs cooperation from students and alumni. In contrast, Students and alumni need information from the University as well. The results of the survey findings will lead to further research to identify the factors that contribute to build the innovation of relationship management system that can quickly responses to the Needs of students and alumni.",2015,https://doi.org/10.1016/j.sbspro.2015.04.801,"['Innovation', 'Alumni', 'Communication', 'Engagement', 'Value Creation']",Procedia - Social and Behavioral Sciences,An Innovation System that can Quickly Responses to the Needs of Students and Alumni
24,"Highlights•A rock art specific collaboration, ontology and visualization model for semantic and rich-media data•Global rock art data is collected collaboratively through public contributions.•A rock art specific Reference Model ontology is proposed for rock art heritage data management.•Rock art is presented in text and rich-media format in a centralized platform.The Rock-Art Database is a rock art heritage project based in the Place, Evolution and Rock Art Heritage Unit (PERAHU), School of Humanities, Languages and Social Science, Griffith University, Queensland, Australia that began in 2012. The project aims to bring members of the global rock art community together in one centralized online platform to share and discuss rock art information in order to make rock art data more accessible and more visible. The platform offers a tool to a wide range of users to collect, manage and disseminate rock art data through specialized functionalities in digital formats that explore new ways to look at rock art through a collaborative, ontological and information visualization approach. The Rock-Art Database was first released in 2014 and can be accessed on the Web at http://www.rockartdatabase.com. This paper presents results of the deployed Rock-Art Database model and discusses its potential for future rock art data explorations.",2016,https://doi.org/10.1016/j.jasrep.2016.10.013,"['Rock-art', 'Collaboration', 'Heritage management', 'Ontology', 'Multimedia', 'Information visualization', 'Human-based computation']",Journal of Archaeological Science: Reports,"A collaborative, ontological and information visualization model approach in a centralized rock art heritage platform"
25,"Highlights•We present a set of best practices for developing Web applications.•We present a comparative analysis of the most well-known Web frameworks (JSF, Struts, CakePHP, Grails, Ruby on Rails, Django, Catalyst and Lift).•This analysis impacts in the software engineering community decreasing the number of errors in the implementation phase.•We have developed a set of Web applications applying best practices as proof-of-concept.Choosing the Web framework that best fits the requirements is not an easy task for developers. Several frameworks now exist to develop Web applications, such as Struts, JSF, Ruby on Rails, Grails, CakePHP, Django, and Catalyst. However, Lift is a relatively new framework that emerged in 2007 for the Scala programming language and which promises a great number of advantages and additional features. Companies such as Siemens© and IBM®, as well as social networks such as Twitter® and Foursquare®, have now begun to develop their applications by using Scala and Lift. Best practices are activities, technical or important issues identified by users in a specific context, and which have rendered excellent service and are expected to achieve similar results in similar situations. Each framework has its own best practices whose aim is to facilitate the development of Web applications. However, there is no current comparative analysis that identifies the best practices for Web frameworks. Thus, as its salient contribution, this paper identifies a set of best practices for Web frameworks. Afterwards, these best practices were analyzed and discussed in terms of developing Lift-based Web applications. The identification of these best practices would allow developers to construct more interactive and efficient Lift-based Web applications, integrating features of Web 2.0 technologies with less effort and exploiting the frameworks' benefits. In addition, this paper contains a comparative analysis with Web frameworks such as JSF, Struts, CakePHP, Ruby on Rails, Lift, Django, and Catalyst. Finally, as proof of concept, a set of Lift-based Web applications were developed for this paper by applying best practices such as actors, lazy loading, Comet support, SiteMap, Wiring, HyperText Markup Language, version 5 (HTML5) support, and parallel rendering.",2015,https://doi.org/10.1016/j.scico.2014.12.004,"['Best practices', 'Lift', 'Scala', 'Web frameworks']",Science of Computer Programming,Analyzing best practices on Web development frameworks: The lift approach
26,"Highlights•The evolution of manufacturing data was reflected in accordance with four ages.•The lifecycle of manufacturing big data was illustrated as a series of phases.•A framework of data driven smart manufacturing is proposed, and the characteristics are discussed.•Several application scenarios of the proposed framework are outlined.•A case is given out to illustrate the implementation of the proposed framework.The advances in the internet technology, internet of things, cloud computing, big data, and artificial intelligence have profoundly impacted manufacturing. The volume of data collected in manufacturing is growing. Big data offers a tremendous opportunity in the transformation of today’s manufacturing paradigm to smart manufacturing. Big data empowers companies to adopt data-driven strategies to become more competitive. In this paper, the role of big data in supporting smart manufacturing is discussed. A historical perspective to data lifecycle in manufacturing is overviewed. The big data perspective is supported by a conceptual framework proposed in the paper. Typical application scenarios of the proposed framework are outlined.",2018,https://doi.org/10.1016/j.jmsy.2018.01.006,"['Big data', 'Smart manufacturing', 'Manufacturing data', 'Data lifecycle']",Journal of Manufacturing Systems,Data-driven smart manufacturing
27,"Highlights•Social presence influence consumer online social brand engagement (SBE) practices.•Online social brand engagement is moderated by firm-generated content and consumer commitment.•SBE encourages consumers to increase their intention to use the brand as well as engage in e-WOM.•Firms adopting creative strategies to arouse consumers' interest and attention to participate in SBE is critical.The increasing use of social media has changed how firms engage their brands with consumers in recent times. This triggered a need for this research to further our understanding of the influence of social presence on social brand engagement (SBE) and the moderating effects of firm-generated content and consumer commitment. Employing a quantitative survey design, 738 consumers with prior experience in following or engaging with brands on social media were randomly interviewed using an online questionnaire. While social presence positively influence social brand engagement, this relationship is significantly moderated by firm-generated content and the consumers' level of commitment in engaging with the brand. The findings also indicate that SBE encourages consumers to increase their intention to use the brand as well as engage in electronic word of mouth. Further, this study provides insights into the potential role of SBE and social presence in advancing the broader understanding of brand relationship management, brand engagement and social media research. Our conceptualisation of SBE suggests a need for managers to adopt creative strategies that will arouse consumers' interest and attention to participate in such interactions.",2018,https://doi.org/10.1016/j.techfore.2017.10.010,"['Social presence theory', 'Social media', 'Social brand engagement', 'e-WOM', 'Firm generated content']",Technological Forecasting and Social Change,Examining online social brand engagement: A social presence theory perspective
28,"Prior studies highlight consumer behavior in social commerce from the perspective of relational exchange, while culture-driven aspects have been neglected. Given cultural uniqueness in China, this study develops a research model to explore the effects of key social commerce affordances on swift guanxi dimensions and subsequent purchase intention. Data from 450 agricultural product consumers in social commerce were used in PLS analysis for testing the proposed research model. The results indicate that interactivity, stickiness, and word of mouth exert positive effects on mutual understanding, reciprocal favor, and relationship harmony, to various degrees. In turn, swift guanxi dimensions are determinants of consumers’ purchase intention in social commerce.",2018,https://doi.org/10.1016/j.im.2018.05.009,"['Social commerce', 'Swift guanxi', 'Mutual understanding', 'Reciprocal favor', 'Relationship harmony']",Information & Management,Understanding the interplay of social commerce affordances and swift guanxi: An empirical study
29,"The impacts of businesses on both environment and societies urge consumers to reflect on the sustainability of the current business approaches, and push them toward a greater environmental and social responsibility. Therefore, in order to establish a long-lasting relationship with their consumers, companies have to interpret and manage such increasing consumer awareness and, consequently, align their business activities to it. Following this lead, we propose a methodology for assessing the fit among Corporate Social Responsibility (CSR) commitment, as disclosed by a company in its Sustainability Report, and consumer demands and perceptions about its social and environmental performance.",2014,https://doi.org/10.1016/j.sbspro.2013.12.472,"['Consumer-Company fit', 'Corporate Social Responsibility', 'Stakeholder Orientation', 'Global Reporting Initiative']",Procedia - Social and Behavioral Sciences,The Strategic Impact of CSR Consumer-company Alignment
30,"The study investigates the impact of corporate social responsibility (CSR) on consumers’ attitudinal and behavioral responses, factors closely related to a firm's social and economic performance, using data from 451 customers of three hotels. We also test the universality of such impact across various consumer groups. Results show that CSR positively affects perceived corporate reputation and customer satisfaction, which in turn, significantly affect customer commitment and behavioral responses (i.e., loyalty intentions and word-of-mouth). Perhaps more importantly, the role of CSR is not universal across consumer groups. Particularly, consumer income seems to moderate the relationship between CSR and perceived reputation. Specifically, the positive effect of CSR on perceived corporate reputation is more salient among people with a higher income. Managerial implications are discussed.",2017,https://doi.org/10.1016/j.jretconser.2016.10.013,"['Corporate social responsibility', 'Attitudinal and behavioral responses']",Journal of Retailing and Consumer Services,Corporate social responsibility: Findings from the Chinese hospitality industry
31,"Semantic technologies are rapidly changing the historical research. Over the last decades, an immense amount of new quantifiable data have been accumulated, and made available in interchangeable formats, in social sciences and humanities, opening up new possibilities for solving old questions and posing new ones. This paper introduces a framework that eases the access of scholars to historical and cultural data about food production and commercial trade system during the Roman Empire, distributed across different data sources. The proposed approach relies on the Ontology-Based Data Access (OBDA) paradigm, where the different datasets are virtually integrated by a conceptual layer (an ontology) that provides to the user a clear point of access and a unified and unambiguous conceptual view.",2016,https://doi.org/10.1016/j.engappai.2016.01.005,"['E-Culture', 'Ontology-Based Data Access', 'Ontology-Based Data Integration', 'EPNet', 'Ontop', 'Knowledge Representation and Reasoning']",Engineering Applications of Artificial Intelligence,Ontology-based data integration in EPNet: Production and distribution of food during the Roman Empire
32,"Highlights•The lack of research in organisational social media management is addressed.•A conceptual stages-of-growth (SoG) model is empirically tested in the context of the evolution of social media adoption by organisations.•Recommendations for revising the empirical model are provided.•A typology for classifying organisations based on the potential of their adopted social media is presented.The adoption of social media by organisations has proven to be very beneficial; however, few studies have examined how to manage an organisation’s social media adoption and usage. Mismanagement of social media could have significant and unintended consequences for the organisation and its stakeholders. This paper addresses the lack of research in organisational social media management by empirically validating a previously developed conceptual social media stages-of-growth model. Hence, the research objectives are to (1) test empirically that the conceptual stages-of-growth model suits the evolution of social media adoption in organisations, and based on the lessons learned to (2) provide recommendations to revise the empirical model. Furthermore, we propose a three-tier typology for classifying organisations based on the potential of their adopted social media. We argue that the empirical model will foster a better understanding of how social media can be adopted and managed within organisations.",2017,https://doi.org/10.1016/j.ijinfomgt.2016.10.003,"['Social media management', 'Stages-of-Growth', 'Social media business profile']",International Journal of Information Management,Managing an organisation’s social media presence: An empirical stages of growth model
33,"Highlights•A new hybrid algorithm (logit leaf model) is proposed for customer churn prediction.•It is designed to perform well in terms of both accuracy and interpretability.•Its competitive performance is apparent from an extensive benchmarking experiment.•Its ability to deliver actionable insights is demonstrated in a case study.Decision trees and logistic regression are two very popular algorithms in customer churn prediction with strong predictive performance and good comprehensibility. Despite these strengths, decision trees tend to have problems to handle linear relations between variables and logistic regression has difficulties with interaction effects between variables. Therefore a new hybrid algorithm, the logit leaf model (LLM), is proposed to better classify data. The idea behind the LLM is that different models constructed on segments of the data rather than on the entire dataset lead to better predictive performance while maintaining the comprehensibility from the models constructed in the leaves. The LLM consists of two stages: a segmentation phase and a prediction phase. In the first stage customer segments are identified using decision rules and in the second stage a model is created for every leaf of this tree. This new hybrid approach is benchmarked against decision trees, logistic regression, random forests and logistic model trees with regards to the predictive performance and comprehensibility. The area under the receiver operating characteristics curve (AUC) and top decile lift (TDL) are used to measure the predictive performance for which LLM scores significantly better than its building blocks logistic regression and decision trees and performs at least as well as more advanced ensemble methods random forests and logistic model trees. Comprehensibility is addressed by a case study for which we observe some key benefits using the LLM compared to using decision trees or logistic regression.",2018,https://doi.org/10.1016/j.ejor.2018.02.009,"['OR in marketing', 'Hybrid algorithm', 'Customer churn prediction', 'Logit leaf model', 'Predictive analytics']",European Journal of Operational Research,A new hybrid classification algorithm for customer churn prediction based on logistic regression and decision trees
34,"Highlights•We analyze which social software features influence the usefulness of BI reports.•We test theory-based hypotheses in an experiment with knowledge workers.•Users of BI reports are mostly influenced by the report’s argument quality.•Personal characteristics also influence the users’ perception of report usefulness.Vendors of Business Intelligence (BI) software have recently started extending their systems by features from social software. The generated reports may include profiles of report authors and later be supplemented by information about users who accessed the report, user evaluations of the report, or other social cues. With these features, users can support each other in discovering and filtering valuable information in the context of BI. Users who consider reusing an existing report that was not designed by or for them can now not only peruse the report content but also take the social cues into consideration. We analyze which report features influence their perception of report usefulness. Our analysis is based on the elaboration likelihood model (ELM) which assumes that information recipients are either influenced by the quality of information or peripheral cues. We conduct an experiment with knowledge workers from different companies. The results confirm most hypotheses derived from ELM in the context of BI reports but we also find a deviation from the basic ELM expectations. We find that even people who are able and motivated to scrutinize the report content use community cues to decide on report usefulness in addition to report quality considerations.",2015,https://doi.org/10.1016/j.ipm.2015.01.004,"['Business Intelligence (BI)', 'Influence processes', 'Reuse', 'Enterprise 2.0', 'Social software']",Information Processing & Management,Influence of social software features on the reuse of Business Intelligence reports
35,"Highlights•Personality has a significant impact on mobile app adoption.•A novel approach is proposed to study mobile app adoption on a large scale.•A machine-learning model is developed to predict a smartphone user's personality.•The predictive model can be integrated into any mobile app.The sheer amount of available apps allows users to customize smartphones to match their personality and interests. As one of the first large-scale studies, the impact of personality traits on mobile app adoption was examined through an empirical study involving 2043 Android users. A mobile app was developed to assess each smartphone user's personality traits based on a state-of-the-art Big Five questionnaire and to collect information about her installed apps. The contributions of this work are two-fold. First, it confirms that personality traits have significant impact on the adoption of different types of mobile apps. Second, a machine-learning model is developed to automatically determine a user's personality based on her installed apps. The predictive model is implemented in a prototype app and shows a 65% higher precision than a random guess. Additionally, the model can be deployed in a non-intrusive, low privacy-concern, and highly scalable manner as part of any mobile app.",2016,https://doi.org/10.1016/j.chb.2016.04.011,"['Mobile app adoption', 'Adoption theory', 'Personality traits', 'Personality prediction', 'Machine learning']",Computers in Human Behavior,Understanding the impact of personality traits on mobile app adoption – Insights from a large-scale field study
36,"The personalized content services in museums are motivated by the need to enhance the visitors’ experience through recommendations which consider the context of their visit, and by the need of curators to measure objectively the exhibition’s impact. We survey the latest advancements in the fields of indoor localization, visitor profiling, content storage and presentation, as well as curator visualization tools, which are the main elements of such systems, and we highlight their strengths and weaknesses. We present an information architecture, which may offer useful insights to researchers and developers. Finally, we present the current challenges and the future trends.",2018,https://doi.org/10.1016/j.pmcj.2018.05.002,"['Recommendations', 'Museums', 'Indoor localization', 'Cultural heritage content', 'Visualization', 'Museum guides']",Pervasive and Mobile Computing,A survey on developing personalized content services in museums
37,"Highlights•We propose a new structure for annotating CAD models that can be integrated with PLM systems.•We describe the architecture of a software system to externally manage the design information that is embedded in CAD models.•The proposed mechanism facilitates a cohesive view of product-related information within the design environment.•A prototype was developed to demonstrate the new structures and their integration with two commercial PLM systems with distinct data models.•The prototype was efficiently integrated in a typical production workflow and information was effectively stored, retrieved, and synchronized.As CAD models continue to become more critical information sources in the product’s lifecycle, it is necessary to develop efficient mechanisms to store, retrieve, and manage larger volumes of increasingly complex data. Because of their unique characteristics, 3D annotations can be used to embed design and manufacturing information directly into a CAD model, which makes models effective vehicles to describe aspects of the geometry or provide additional information that can be connected to a particular geometric element. However, access to this information is often limited, difficult, and even unavailable to external applications. As model complexity and volume of information continue to increase, new and more powerful methods to interrogate these annotations are needed.In this paper, we demonstrate how 3D annotations can be effectively structured and integrated into a Product Lifecycle Management (PLM) system to provide a cohesive view of product-related information in a design environment. We present a strategy to organize and manage annotation information which is stored internally in a CAD model, and make it fully available through the PLM. Our method involves a dual representation of 3D annotations with enhanced data structures that provides shared and easy access to the information. We describe the architecture of a system which includes a software component for the CAD environment and a module that integrates with the PLM server. We validate our approach through a software prototype that uses a parametric modeling application and two commercial PLM packages with distinct data models.",2017,https://doi.org/10.1016/j.ijinfomgt.2017.06.002,"['3D annotations', 'PLM', 'PDM', 'Design intent', 'Model-based engineering']",International Journal of Information Management,On the integration of model-based feature information in Product Lifecycle Management systems
38,"Highlights•External pressure from a consumer's referent group influence their social media use•The consumer's personal values does not influence their social media use•Social media use generates consumer's social capital and subjective wellbeing.•Consumer's age and gender do not have significant differences in social media use.Social media use has increased tremendously over the last few years, generating immense interest in the phenomenon in both research and practice. Hence, this study takes a quantitative (survey design) approach to empirically examine the user (consumer) level factors that influence social media use, their consequences, and the moderating effects of consumer demographic variables (age and gender). The findings suggest that while external pressure from a consumer's referent group influence their social media use, the consumer's personal values does not. Moreover, social media use generates bridging social capital and subjective wellbeing among consumers. The empirical analysis also shows that consumer demographic variables (age and gender) do not have any significant differences in their use of social media. We shed light on the relative effects of these antecedents on social media use from a holistic perspective employing the social presence theory. This study also contributes to the augmentation and displacement hypotheses of computer-mediated communication and tends to support the augmentation hypothesis. The results will also be useful for firms by employing techniques that would arouse interest and curiosity to attract the attention of social media users.",2017,https://doi.org/10.1016/j.techfore.2017.06.023,"['Social media use', 'Social presence theory', 'Subjective wellbeing', 'Augmentation hypothesis', 'Structural equation modelling']",Technological Forecasting and Social Change,Evaluating individual level antecedents and consequences of social media use in Ghana
39,"The collection and combination of assessment data in trustworthiness evaluation of cloud service is challenging, notably because QoS value may be missing in offline evaluation situation due to the time-consuming and costly cloud service invocation. Considering the fact that many trustworthiness evaluation problems require not only objective measurement but also subjective perception, this paper designs a novel framework named CSTrust for conducting cloud service trustworthiness evaluation by combining QoS prediction and customer satisfaction estimation. The proposed framework considers how to improve the accuracy of QoS value prediction on quantitative trustworthy attributes, as well as how to estimate the customer satisfaction of target cloud service by taking advantages of the perception ratings on qualitative attributes. The proposed methods are validated through simulations, demonstrating that CSTrust can effectively predict assessment data and release evaluation results of trustworthiness.",2014,https://doi.org/10.1016/j.knosys.2013.11.014,"['Cloud computing', 'Service trustworthiness', 'Multi-attribute evaluation', 'QoS prediction', 'Customer satisfaction']",Knowledge-Based Systems,Combining QoS prediction and customer satisfaction estimation to solve cloud service trustworthiness evaluation problems
40,"The dynamically changing environment, with the convergence of IT, telecommunications and electronic media, has large impact on decision-making processes of enterprises. Decision-making is accompanied by a vast amount of data and software for their analysis. In the paper, there is indicated the significance of Big Data in decision-making processes and the essence of integrated data management in enterprises. There are presented the proposals of the stages of decision-making support based on the data, which are appropriately processed and ordered, and can be implemented in enterprises.",2015,https://doi.org/10.1016/j.procs.2015.09.053,"['decision-making process', 'Big Data', 'data management', 'decision process.']",Procedia Computer Science,BIG DATA in Decision Making Processes of Enterprises
41,"Highlights•Inter-organisational relationships are a product of a number of contingency factors.•Convergence of key account practices along the organisational dimension of KAM•Divergence of key account practices along the relational dimension of KAM•The relational dimension is crucial for successful Arab Key Account relationships.Within the sales and marketing literature, it is recognised that a range of external factors can influence how companies in the business-to-business field manage business relationships within national and across international borders. However, there have been very few studies that explore the influence of the external environment on key account relationships, especially within the context of emerging economies. This study draws on the network approach and contingency theory to identify and highlight the influence of external environmental factors on the management of inter-organisational relationships with key customers in emerging economies in the Arab Middle East region. It is based on an extensive qualitative enquiry that utilises 50 in-depth semi-structured interviews conducted in Jordan with endogenous and Western firms. It concludes that key account practices within an Arab context are shaped by a number of contingencies that are embedded in broader institutional contexts and the business environment, which may challenge the adoption of company-wide universal key account management policies across borders.",2014,https://doi.org/10.1016/j.indmarman.2014.02.008,"['Key account management', 'Relationship management', 'Emerging economies', 'Contingency theory', 'Network approach']",Industrial Marketing Management,Environmental factors influencing the management of key accounts in an Arab Middle Eastern context
42,"Big data are referred to bulk data which cannot be collected, saved, and analyzed with the traditional data analysis tools. The field of learning analysis, which has consistently appeared on the Horizon Report from New Media Consortium for the recent years, is receiving fresh attention with the proliferation of big data.The purpose of this study is to examine the environment for the learning analytics, a branch field of big data, to be applied to the Korean education curricular and its possibility and find out how to improve them. First, as an application of a new technology involves side effects in most cases, it is desirable that potential problems be considered from the beginning and negative effects be minimized. Second, the learning analytics begins with securing sufficient data, and a data exchange system should be established for setting up the data ecology. Third, as big data are applied to public data and the corporate business areas and frequently mentioned in the media, the expectation for their potential growth is reaching its peak.",2016,https://doi.org/10.1016/j.procs.2016.07.096,"['Big-Data', 'Learning analytics', 'Horizon Report', 'Predictive Analytics']",Procedia Computer Science,A Study on the Application of Big Data to the Korean College Education System
43,"Mobile advertising allows retailers, service providers, and manufacturers to provide consumers with increasingly relevant offers. The success of such campaigns depends on an ever better understanding of environmental, consumer, and technological context variables; a strong focus on advertising goals; accounting for market factors related to the nature of stakeholders and market environment; and the use of appropriate mobile ad elements to improve relevant outcome metrics. This article provides an overarching framework to synthesize current findings in mobile advertising, as well as a research agenda to stimulate additional work in this nascent field.",2016,https://doi.org/10.1016/j.intmar.2016.03.003,"['Mobile advertising', 'Mobile promotions', 'Mobile marketing']",Journal of Interactive Marketing,Mobile Advertising: A Framework and Research Agenda
44,"Our next generation of industry—Industry 4.0—holds the promise of increased flexibility in manufacturing, along with mass customization, better quality, and improved productivity. It thus enables companies to cope with the challenges of producing increasingly individualized products with a short lead-time to market and higher quality. Intelligent manufacturing plays an important role in Industry 4.0. Typical resources are converted into intelligent objects so that they are able to sense, act, and behave within a smart environment. In order to fully understand intelligent manufacturing in the context of Industry 4.0, this paper provides a comprehensive review of associated topics such as intelligent manufacturing, Internet of Things (IoT)-enabled manufacturing, and cloud manufacturing. Similarities and differences in these topics are highlighted based on our analysis. We also review key technologies such as the IoT, cyber-physical systems (CPSs), cloud computing, big data analytics (BDA), and information and communications technology (ICT) that are used to enable intelligent manufacturing. Next, we describe worldwide movements in intelligent manufacturing, including governmental strategic plans from different countries and strategic plans from major international companies in the European Union, United States, Japan, and China. Finally, we present current challenges and future research directions. The concepts discussed in this paper will spark new ideas in the effort to realize the much-anticipated Fourth Industrial Revolution.",2017,https://doi.org/10.1016/J.ENG.2017.05.015,"['Intelligent manufacturing', 'Industry 4.0', 'Internet of Things', 'Manufacturing systems', 'Cloud manufacturing', 'Cyber-physical system']",Engineering,Intelligent Manufacturing in the Context of Industry 4.0: A Review
45,":Container terminal main duty is to organize and optimize the ships flowrate with time efficiency. In addition, these terminals act as feeding point to different transport modalities such as rail, road, naval and air. The fast growth g of container volumes handled at the terminals has the g consequence of congestion and by extension will affect the supply chain of g several companies. To improve the intermodal transport, we must improve the performance of terminal operations, especially the harbor container terminal (HCT). In order to be efficient, the HCTs logistics sector has to reach a certain business process maturity. One strong recommendation to reduce non-compliance with the top management strategy is through auditing and assessment of processes. The organizations are required to implement appropriate governance and compliance with applicable laws and best practices. Consequently, the aim of this article is to understand the functioning and the issues related to the HCTs management. To achieve that, this article proposes a study of HCT processes. It presents a diagnostic solution of non-compliances generated by HCTs processes. Then shows an original and practical approach based on the structural analysis. This approach helps the HCT logistics organizational structure assessment. This research fits into organizational audit issues solving. The auditing will affect the operational aspects of the analytical methods implementation. This organizational reengineering will be based on its existing information system. An integrated software solution is developed for the diagnosis and assessment of the HCTs’ organizational structure.",2017,https://doi.org/10.1016/j.trpro.2017.03.023,"['Supply chain management', 'Organization re-design', 'business process', 'harbor container terminal', 'Process container organization']",Transportation Research Procedia,Framework for organizational structure re-design by assessing logistics’ business processes in harbor container terminals
46,"Highlights•A history of tillage in the productive Central Valley of California 1930–present is chronicled.•Major tillage system transformations beginning in 1990s.•Tillage system innovation in an intensive production region is shown.•Role of global farmer-to-farmer communication is discussed.The Central Valley (CV) of California is a remarkably productive agricultural region. Much of the productive capacity of the CV stems from the reliable tillage management systems that were developed beginning in the 1930s and that changed very little until the 1990s and even more dramatically in the 2000s. A variety of technologies, people and social networks have contributed to the major transformations in tillage management that have rapidly occurred during this recent time. Factors that influenced the prior slow evolution of tillage systems in the region include the need to find ways to farm with irrigation, cope with a broad range of soils, achieve high crop quality and yields to compete on world markets, expand farming operations to greater acreage, and find ways to farm with ever-increasing costs. The cost increases, recognition of the emerging concepts of conservation agriculture (CA), and the development and broader adoption of advanced irrigation systems are now spurring farmers and research organizations in the CV to overcome problems experienced with conventional tillage practices and to develop new cropping systems in the region including no-tillage and strip-tillage. Ultimately, broader adoption of conservation agriculture principles and practices in this region will stem from a diverse and complex set of motivating factors. The role of global farmer-to-farmer communication has had a major impact on this process. Ongoing targeted problem-solving efforts addressing weed, water and fertility management in conservation agriculture systems will be needed to make them more reliable and widely used.",2016,https://doi.org/10.1016/j.still.2015.10.015,"['No-tillage', 'Conservation agriculture', 'Controlled traffic farming', 'Adoption', 'Cropping systems']",Soil and Tillage Research,A history of tillage in California’s Central Valley
47,"Highlights•This study distinguishes the different roles of three social commerce components on customers’ decision process.•Cognitive appraisal has a higher predictive power on purchase behavior than affective appraisal.•Learning from forums and communities formulates more affective appraisal than cognitive appraisal.•Learning from ratings and reviews determines more cognitive appraisal than affective appraisal.The proliferation of social commerce has changed customers’ purchase decision-making process. However, few studies have investigated the roles of social commerce factors on customers’ purchase decision-making. Based on the social learning theory, we develop a research model to examine how customers’ learning behavior along three main social commerce components (SCCs) affects customers’ attitude in both cognitive and affective dimensions and how such attitude determines customers’ purchase intention. The results from a survey of 243 actual users of social commerce websites suggest that cognitive and affective appraisals are the main predictors of purchase intention, with cognitive appraisal having a higher predictive power than affective appraisal. In addition, learning from forums and communities and learning from ratings and reviews have significant influences on both cognitive and affective appraisals, while learning from forums and communities plays a more important role in formulating affective appraisal and learning from ratings and reviews plays a more important role in determining cognitive appraisal. Contrary to our expectation, learning from social recommendations has no significant influence on either cognitive or affective appraisal. In summary, these findings provide a comprehensive understanding about customers’ purchase decision-making process and extend the application scope of social learning theory. The findings also provide social commerce managers guidance in designing more effective websites and allocating resources and efforts reasonably on different SCCs.",2017,https://doi.org/10.1016/j.ijinfomgt.2017.05.001,"['Social commerce components', 'Social learning theory', 'Forums and communities', 'Ratings and reviews', 'Social recommendations']",International Journal of Information Management,Customers’ purchase decision-making process in social commerce: A social learning perspective
48,"This work bridges theory and practice on mobile promotions and proposes a research agenda. We do so by first defining mobile promotions and distinguishing them from mobile advertising. We then develop a framework for various stakeholders in the mobile promotion ecosystem. Finally, we advance research questions concerning each stakeholder and view these questions through the lens of several overarching themes that surround mobile promotions, such as the privacy–value tradeoff, return on investment, spatiotemporal targeting, inter-media substitution, and channel and consumer power.",2016,https://doi.org/10.1016/j.intmar.2016.03.004,"['Mobile promotions', 'Mobile targeting', 'Mobile marketing', 'Digital coupons', 'New technology']",Journal of Interactive Marketing,Mobile Promotions: A Framework and Research Priorities
49,"The present research investigates the links among stakeholder relationships, corporate brand equity, and firm performance. Using the resource-based theory (RBT), the authors propose an integrative conceptual framework in which a firm's relationships with multiple stakeholders drive corporate brand equity, which then leads to firm performance. The empirical analysis features firm-level, secondary data from a sample of 282 firm-year observations obtained from 81 multinational companies during 2005–2008. The empirical results indicate a positive relationship between the quality of stakeholder relations and brand equity. Furthermore, brand equity mediates the link between stakeholder relations and firm performance. This research thus offers new insights into the strategic effects of stakeholder relationships in a brand domain.",2016,https://doi.org/10.1016/j.jbusres.2016.05.009,"['Resource-based theory', 'Stakeholder relations', 'Brand equity', 'Brand co-creation', 'Dynamic capabilities', 'Firm performance']",Journal of Business Research,"Stakeholder relationships, brand equity, firm performance: A resource-based perspective"
